t1,t2,t3,t4,CF12_34,CF12_34_lo,CF12_34_hi,CF13_24,CF13_24_lo,CF13_24_hi,CF14_23,CF14_23_lo,CF14_23_hi
t1,t2,t3,t4,0.3,0,0,0.3,0,0,0.4,0,0
t1,t2,t3,t5,1.0,0,0,0.0,0,0,0.0,0,0
t1,t2,t4,t5,0.3,0,0,0.4,0,0,0.3,0,0
t1,t3,t4,t5,0.1,0,0,0.9,0,0,0.0,0,0
t2,t3,t4,t5,0.1,0,0,0.9,0,0,0.0,0,0
t1,t2,t3,t6,0.5,0,0,0.3,0,0,0.2,0,0
t1,t2,t4,t6,0.3,0,0,0.6,0,0,0.1,0,0
t1,t3,t4,t6,0.5,0,0,0.5,0,0,0.0,0,0
t2,t3,t4,t6,0.4,0,0,0.4,0,0,0.2,0,0
t1,t2,t5,t6,0.5,0,0,0.3,0,0,0.2,0,0
t1,t3,t5,t6,0.1,0,0,0.1,0,0,0.8,0,0
t2,t3,t5,t6,0.1,0,0,0.1,0,0,0.8,0,0
t1,t4,t5,t6,0.5,0,0,0.5,0,0,0.0,0,0
t2,t4,t5,t6,0.4,0,0,0.4,0,0,0.2,0,0
t3,t4,t5,t6,0.0,0,0,0.9,0,0,0.1,0,0
